name,set,availability,rarity,rating,num_votes,categories,pic
Tony Stark,Iron Man,Battle Pass,Marvel,3.9,1300.0,"['Crossover', 'Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/08/fortnite-tony-stark-skin-featured-300x300.png
Jack Gourdon,Pumpkin Patch,Shop,Epic,3.5,5400.0,"['Annual', 'Halloween', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2020/10/fortnite-jack-groudon-variant-450x450.jpg
Jade Racer,Ancients Reborn,Shop,Rare,3.3,906.0,"['Annual', 'Female', 'Holidays', 'Lunar New Year', 'Styles']",https://progameguides.com/wp-content/uploads/2020/01/fortnite-jade-racer-skin-featured-300x300.png
Jaeger,Primal Hunters,Shop,Epic,2.8,3100.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-jaeger-featured-png-300x300.png
Jawbreaker,Final Reckoning,Shop,Rare,3.7,2000.0,"['Female', 'Halloween', 'Holidays']",https://progameguides.com/wp-content/uploads/2019/10/fortnite-jawbreaker-skin-featured-300x300.png
Jellie,Fish Food,Shop,Rare,3.9,2100.0,[],https://progameguides.com/wp-content/uploads/2020/01/fortnite-jellie-skin-icon-300x300.png
Jolly Jammer,Cozy Command,Shop,Uncommon,0.3,1900.0,"['Annual', 'Christmas', 'Female', 'Holidays', 'Styles']",https://progameguides.com/wp-content/uploads/2019/12/fortnite-jolly-jammer-skin-featured-300x300.png
Jonesy the First,Origins,Shop,Uncommon,3.7,262.0,['Male'],https://progameguides.com/wp-content/uploads/2020/11/fortnite-jonesy-the-first-featured-300x300.png
Journey vs Hazard,Ascension,Battle Pass,Rare,3.4,1600.0,"['Female', 'Styles']",https://progameguides.com/wp-content/uploads/2019/10/fortnite-hazard-skin-featured-110x300.png
Juke,Fourth Down,Shop,Epic,2.5,2400.0,"['Crossover', 'Female', 'Football', 'Sports', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-juke-featured-png-300x300.png
Jules,Intrepid Engines,Battle Pass,Epic,3.9,1700.0,"['Female', 'Reactive']",https://progameguides.com/wp-content/uploads/2020/06/fortnite-jules-skin-icon-300x300.png
Jungle Scout,Jungle Scout,Shop,Uncommon,3.4,4000.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-jungle-scout-icon-png-300x300.png
K-Pop,Unreleased,Unreleased,Unreleased,2.7,5300.0,[],https://progameguides.com/wp-content/uploads/2019/04/fortnite-k-pop-icon-png-300x300.png
Kalia,Island Warrior,Shop,Rare,3.4,308.0,['Female'],https://progameguides.com/wp-content/uploads/2020/08/fortnite-kalia-skin-featured-300x300.png
Kane,Nightmare Yule,Shop,Epic,3.3,1100.0,"['Annual', 'Christmas', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2019/12/fortnite-kane-skin-icon-300x300.png
Kenji,Falcon Clan,Shop,Epic,3.4,3500.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-kenji-featured-png-300x300.png
King Flamingo,Flamingo,Shop,Uncommon,3.2,2400.0,['Male'],https://progameguides.com/wp-content/uploads/2019/06/fortnite-skin-king-flamingo-featured-300x300.png
King Krab,Surf & Turf,Shop,Rare,2.6,252.0,"['Male', 'Reactive', 'Styles']",https://progameguides.com/wp-content/uploads/2020/08/fortnite-king-krab-skin-featured-300x300.png
Kitbash,Boneyard,Shop,Epic,3.0,4200.0,"['Male', 'Robot']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-kitbash-featured-png-300x300.png
Knockout,Siege Strike,Shop,Uncommon,2.5,770.0,['Male'],https://progameguides.com/wp-content/uploads/2019/09/fortnite-knockout-skin-featured-300x300.png
Komplex,Aerosol Assassins,Shop,Rare,3.7,1400.0,"['Female', 'Reactive']",https://progameguides.com/wp-content/uploads/2020/01/fortnite-komplex-skin-icon-300x300.png
Kondor,Spirit of Vengeance,Battle Pass,Epic,3.9,239.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/12/fortnite-outfit-kondor-zero-point-450x450.jpg
Krampus,Krampus,Shop,Legendary,3.0,4500.0,"['Christmas', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-krampus-icon-png-300x300.png
Kuno,Falcon Clan,Shop,Epic,3.8,5700.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-kuno-icon-png-300x300.png
Kurohomura,Battle Breakers,Shop,Epic,3.2,1300.0,"['Crossover', 'Male']",https://progameguides.com/wp-content/uploads/2019/11/T-Soldier-HID-544-Athena-Commando-M-Kurohomura-L-300x300.png
Kylo Ren,The New Trilogy,Shop,Star Wars,3.9,2600.0,"['Crossover', 'Male']",https://progameguides.com/wp-content/uploads/2019/12/fortnite-kylo-ren-skin-featured-300x300.png
Kyra,Impact,Shop,Rare,3.9,1800.0,['Female'],https://progameguides.com/wp-content/uploads/2020/06/fortnite-kyra-skin-icon-300x300.png
Grave,Ultimate Reckoning,Bundle,Epic,3.6,177.0,"['Halloween', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2020/10/fortnite-grave-icon-300x300.png
Lace,Ouroboros,Shop,Epic,3.5,4800.0,"['Female', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-lace-icon-png-300x300.png
Lada,Taco Time,Shop,Uncommon,3.1,420.0,['Female'],https://progameguides.com/wp-content/uploads/2020/06/fortnite-lada-skin-featured-300x300.png
Laguna,Beach Battalion,Bundle,Rare,3.8,6000.0,"['Female', 'Starter Pack']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-laguna-featured-png-300x300.png
Leviathan,Space Explorers,Shop,Legendary,3.4,4800.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-leviathan-icon-png-300x300.png
Lil Whip,Two Scoops,Shop,Epic,3.3,4100.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-lil-whip-featured-png-300x300.png
Limelight,Citron,Shop,Rare,2.4,1200.0,['Female'],https://progameguides.com/wp-content/uploads/2019/09/fortnite-limelight-skin-icon-300x300.png
Liteshow,Neon Glow,Shop,Uncommon,2.8,3200.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-liteshow-featured-png-300x300.png
LLion,Neon Jungle,Shop,Epic,3.6,938.0,"['Male', 'Reactive', 'Styles']",https://progameguides.com/wp-content/uploads/2020/02/fortnite-llion-skin-icon-300x300.png
Loserfruit,Loserfruit,Shop,Icon,4.0,2200.0,"['Crossover', 'Female']",https://progameguides.com/wp-content/uploads/2020/05/fortnite-loserfruit-skin-featured-300x300.png
Love Ranger,Royale Hearts,Shop,Legendary,3.7,4700.0,"['Holidays', 'Male', ""Valentine's Day""]",https://progameguides.com/wp-content/uploads/2018/08/fortnite-love-ranger-skin-featured-300x300.png
Lovethorn,Wild Hearts,Shop,Epic,3.7,1100.0,"['Annual', 'Female', 'Holidays', 'Styles', ""Valentine's Day""]",https://progameguides.com/wp-content/uploads/2020/02/fortnite-lovethorn-skin-icon-300x300.png
Lt. Evergreen,Piney Fresh,Promotion,Epic,3.0,1200.0,"['Christmas', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2019/12/fortnite-lt-evergreen-skin-icon-300x300.png
Lt. Logo,Banner Brigade,Shop,Uncommon,2.4,1100.0,['Male'],https://progameguides.com/wp-content/uploads/2019/07/fortnite-lt-logo-skin-featured-300x300.png
Lucky Rider,Green Clover,Shop,Epic,3.5,3400.0,"['Holidays', 'Male', ""St. Patrick's Day""]",https://progameguides.com/wp-content/uploads/2019/04/fortnite-lucky-rider-featured-png-300x300.png
Ludwig,Oktoberfest,Shop,Epic,2.2,3100.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-ludwig-featured-png-300x300.png
Luminos,Interstellar,Shop,Epic,3.8,3600.0,['Male'],https://progameguides.com/wp-content/uploads/2019/05/fortnite-luminos-featured-300x300.png
Luxe,24k,Battle Pass,Legendary,3.1,7100.0,"['Female', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-luxe-icon-png-300x300.png
Lynx,Lynx,Battle Pass,Legendary,3.9,13000.0,"['Female', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-lynx-icon-png-300x300.png
Madcap,Fungus King,Unreleased,Epic,3.8,656.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/06/fortnite-madcap-skin-featured-300x300.png
Maki Master,Sushi,Shop,Rare,3.5,4100.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-maki-master-icon-png-300x300.png
Malcore,Eternal Struggle,Shop,Epic,2.9,3400.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-malcore-featured-png-300x300.png
Malice,Diabolical,Shop,Legendary,3.6,4700.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-malice-featured-png-300x300.png
Mancake,The Breakfast Bandit,Battle Pass,Epic,3.8,219.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/12/fortnite-outfit-mancake-zero-point-450x450.jpg
Manic,Manic,Shop,Uncommon,3.9,3100.0,['Female'],https://progameguides.com/wp-content/uploads/2019/09/fortnite-manic-skin-featured-300x300.png
Mariana,Sea Glow,Shop,Epic,3.8,560.0,"['Female', 'Reactive']",https://progameguides.com/wp-content/uploads/2020/08/fortnite-mariana-skin-icon-300x300.png
Marino,Beach Battalion,Shop,Rare,2.8,2900.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-marino-featured-png-300x300.png
Marked Marauder,Banner Brigade,Shop,Uncommon,3.8,2500.0,['Female'],https://progameguides.com/wp-content/uploads/2019/07/fortnite-marked-marauder-skin-featured-300x300.png
